"","intercept","beta_1","rss","rank"
"12511",18,-7.7,1642119.23232322,12564
"12512",18.5,-7.7,1638710.9780783,12552
"12513",19,-7.7,1635307.72383337,12540
"12514",19.5,-7.7,1631909.46958845,12527
"12515",20,-7.7,1628516.21534352,12514
"12516",20.5,-7.7,1625127.9610986,12501
"12517",21,-7.7,1621744.70685367,12488
"12518",21.5,-7.7,1618366.45260875,12476
"12519",22,-7.7,1614993.19836383,12464
"12520",22.5,-7.7,1611624.9441189,12451
"12521",23,-7.7,1608261.68987398,12438
"12522",23.5,-7.7,1604903.43562905,12425
"12523",24,-7.7,1601550.18138413,12412
"12524",24.5,-7.7,1598201.9271392,12400
"12525",25,-7.7,1594858.67289428,12388
"12526",25.5,-7.7,1591520.41864936,12375
"12527",26,-7.7,1588187.16440443,12362
"12528",26.5,-7.7,1584858.91015951,12351
"12529",27,-7.7,1581535.65591458,12338
"12530",27.5,-7.7,1578217.40166966,12325
"12531",28,-7.7,1574904.14742473,12313
"12532",28.5,-7.7,1571595.89317981,12301
"12533",29,-7.7,1568292.63893488,12288
"12534",29.5,-7.7,1564994.38468996,12275
"12535",30,-7.7,1561701.13044504,12262
"12536",30.5,-7.7,1558412.87620011,12249
"12537",31,-7.7,1555129.62195519,12237
"12538",31.5,-7.7,1551851.36771026,12225
"12539",32,-7.7,1548578.11346534,12212
"12540",32.5,-7.7,1545309.85922041,12198
"12541",33,-7.7,1542046.60497549,12185
"12542",33.5,-7.7,1538788.35073057,12172
"12543",34,-7.7,1535535.09648564,12160
"12544",34.5,-7.7,1532286.84224072,12150
"12545",35,-7.7,1529043.58799579,12138
"12546",35.5,-7.7,1525805.33375087,12125
"12547",36,-7.7,1522572.07950594,12112
"12548",36.5,-7.7,1519343.82526102,12099
"12549",37,-7.7,1516120.5710161,12086
"12550",37.5,-7.7,1512902.31677117,12074
"12551",38,-7.7,1509689.06252625,12062
"12552",38.5,-7.7,1506480.80828132,12049
"12553",39,-7.7,1503277.5540364,12037
"12554",39.5,-7.7,1500079.29979147,12024
"12555",40,-7.7,1496886.04554655,12011
"12556",0,-7.75,1790860.34407454,13106
"12557",0.5,-7.75,1787249.43614676,13093
"12558",1,-7.75,1783643.52821898,13078
"12559",1.5,-7.75,1780042.6202912,13065
"12560",2,-7.75,1776446.71236341,13052
"12561",2.5,-7.75,1772855.80443563,13039
"12562",3,-7.75,1769269.89650785,13027
"12563",3.5,-7.75,1765688.98858007,13014
"12564",4,-7.75,1762113.08065229,13001
"12565",4.5,-7.75,1758542.17272451,12988
"12566",5,-7.75,1754976.26479673,12975
"12567",5.5,-7.75,1751415.35686895,12963
"12568",6,-7.75,1747859.44894117,12951
"12569",6.5,-7.75,1744308.54101339,12938
"12570",7,-7.75,1740762.63308561,12925
"12571",7.5,-7.75,1737221.72515783,12912
"12572",8,-7.75,1733685.81723005,12899
"12573",8.5,-7.75,1730154.90930227,12887
"12574",9,-7.75,1726629.00137449,12875
"12575",9.5,-7.75,1723108.09344671,12862
"12576",10,-7.75,1719592.18551893,12849
"12577",10.5,-7.75,1716081.27759115,12836
"12578",11,-7.75,1712575.36966337,12823
"12579",11.5,-7.75,1709074.46173559,12810
"12580",12,-7.75,1705578.55380781,12798
"12581",12.5,-7.75,1702087.64588003,12785
"12582",13,-7.75,1698601.73795225,12772
"12583",13.5,-7.75,1695120.83002447,12759
"12584",14,-7.75,1691644.92209669,12746
"12585",14.5,-7.75,1688174.01416891,12733
"12586",15,-7.75,1684708.10624113,12721
"12587",15.5,-7.75,1681247.19831335,12709
"12588",16,-7.75,1677791.29038557,12696
"12589",16.5,-7.75,1674340.38245779,12683
"12590",17,-7.75,1670894.47453001,12670
"12591",17.5,-7.75,1667453.56660223,12657
"12592",18,-7.75,1664017.65867445,12645
